t, v, v(t) 
0,0,0
0.25,2.45,2.45
0.5,4.59375,4.9
0.75,6.469531,7.35
1,8.11084,9.8
1.25,9.546985,12.25
1.5,10.803612,14.7
1.75,11.90316,17.15
2,12.865265,19.6
2.25,13.707107,22.05
2.5,14.443719,24.5
2.75,15.088254,26.95
3,15.652222,29.4
3.25,16.145694,31.85
3.5,16.577483,34.3
3.75,16.955297,36.75
4,17.285885,39.2
4.25,17.575149,41.65
4.5,17.828256,44.1
4.75,18.049724,46.55
5,18.243508,49
5.25,18.41307,51.45
5.5,18.561436,53.9
5.75,18.691257,56.35
6,18.804849,58.8
6.25,18.904243,61.25
6.5,18.991213,63.7
6.75,19.067311,66.15
7,19.133897,68.6
7.25,19.19216,71.05
7.5,19.24314,73.5
7.75,19.287748,75.95
8,19.326779,78.4
8.25,19.360932,80.85
8.5,19.390815,83.3
8.75,19.416963,85.75
9,19.439843,88.2
9.25,19.459863,90.65
9.5,19.47738,93.1
9.75,19.492707,95.55
10,19.506119,98